,index,avg,name
175,2010-11,232160.4837,NH
176,2010-12,231366.0217,NH
177,2011-01,230935.1848,NH
178,2011-02,231057.3315,NH
179,2011-03,230684.087,NH
180,2011-04,230014.6576,NH
181,2011-05,228846.5543,NH
182,2011-06,228267.163,NH
183,2011-07,227393.1848,NH
184,2011-08,226484.8495,NH
185,2011-09,225587.7937,NH
186,2011-10,225156.8201,NH
187,2011-11,224406.5979,NH
188,2011-12,223827.8201,NH
189,2012-01,222757.9844,NH
190,2012-02,221302.7165,NH
191,2012-03,220702.9124,NH
192,2012-04,220510.8918,NH
193,2012-05,220772.5619,NH
194,2012-06,221254.6564,NH
195,2012-07,221793.9897,NH
196,2012-08,222040.5282,NH
197,2012-09,221983.5816,NH
198,2012-10,222051.0305,NH
199,2012-11,222347.9239,NH
200,2012-12,223241.8141,NH
201,2013-01,223652.6231,NH
202,2013-02,224379.6131,NH
203,2013-03,225532.7286,NH
204,2013-04,226809.525,NH
205,2013-05,227983.2587,NH
206,2013-06,229016.8775,NH
207,2013-07,230390.9517,NH
208,2013-08,231000.4638,NH
209,2013-09,230732.481,NH
210,2013-10,231262.6777,NH
211,2013-11,232011.9671,NH
212,2013-12,232745.892,NH
213,2014-01,232746.3981,NH
214,2014-02,233516.9769,NH
215,2014-03,233674.0645,NH
216,2014-04,234181.7834,NH
217,2014-05,235483.4633,NH
218,2014-06,236291.0365,NH
219,2014-07,236277.9186,NH
220,2014-08,236971.6607,NH
221,2014-09,237463.0711,NH
222,2014-10,236765.4522,NH
223,2014-11,237116.4612,NH
224,2014-12,237342.0733,NH
225,2015-01,236713.4895,NH
226,2015-02,236928.8033,NH
227,2015-03,237527.5439,NH
228,2015-04,238382.7866,NH
229,2015-05,239662.4686,NH
230,2015-06,240817.4226,NH
231,2015-07,241791.3808,NH
232,2015-08,242221.2762,NH
233,2015-09,242607.4519,NH
234,2015-10,242848.6736,NH
235,2015-11,243124.1506,NH
236,2015-12,243763.4351,NH
237,2016-01,244097.7908,NH
238,2016-02,244280.3138,NH
239,2016-03,244511.8703,NH
240,2016-04,245420.8703,NH
241,2016-05,246868.251,NH
242,2016-06,248243.7866,NH
243,2016-07,249188.2008,NH
244,2016-08,249915.4603,NH
245,2016-09,250469.5439,NH
246,2016-10,251328.3473,NH
247,2016-11,252166.3264,NH
248,2016-12,253036.2469,NH
249,2017-01,253971.8075,NH
250,2017-02,255710.8033,NH
251,2017-03,257431.5188,NH
252,2017-04,259033.1297,NH
253,2017-05,259895.2678,NH
254,2017-06,261050.364,NH
255,2017-07,262405.6025,NH
256,2017-08,263855.0377,NH
257,2017-09,265077.1464,NH
258,2017-10,266299.9833,NH
259,2017-11,267805.9331,NH
260,2017-12,269395.1464,NH
261,2018-01,270999.0837,NH
262,2018-02,271995.6192,NH
263,2018-03,273220.3891,NH
264,2018-04,274693.8536,NH
265,2018-05,276452.2971,NH
266,2018-06,278073.0544,NH
267,2018-07,279094.3305,NH
268,2018-08,280273.5858,NH
269,2018-09,281204.8243,NH
270,2018-10,282143.8326,NH
271,2018-11,282687.1464,NH
272,2018-12,283483.3556,NH
273,2019-01,284439.4854,NH
274,2019-02,285332.7741,NH
275,2019-03,286019.159,NH
276,2019-04,286840.2469,NH
277,2019-05,288220.3347,NH
278,2019-06,289579.954,NH
279,2019-07,290763.0167,NH
280,2019-08,291038.8285,NH
281,2019-09,291357.0879,NH
282,2019-10,291662.0293,NH
283,2019-11,292493.887,NH
284,2019-12,293394.159,NH
285,1996-04,127303.3628,TX
286,1996-05,127317.689,TX
287,1996-06,127361.5742,TX
288,1996-07,127424.2014,TX
289,1996-08,127594.8763,TX
290,1996-09,127977.9859,TX
291,1996-10,128458.9683,TX
292,1996-11,128967.831,TX
293,1996-12,129319.257,TX
294,1997-01,128784.0497,TX
295,1997-02,128120.7926,TX
296,1997-03,128251.4389,TX
297,1997-04,128287.2504,TX
298,1997-05,128273.02,TX
299,1997-06,128305.177,TX
300,1997-07,128409.3038,TX
301,1997-08,128748.8314,TX
302,1997-09,129098.3933,TX
303,1997-10,129526.3117,TX
304,1997-11,130029.4609,TX
305,1997-12,130282.2413,TX
306,1998-01,130832.3311,TX
307,1998-02,131631.9668,TX
308,1998-03,132544.8171,TX
309,1998-04,132665.6026,TX
310,1998-05,132676.5862,TX
311,1998-06,133092.4043,TX
312,1998-07,133402.1718,TX
313,1998-08,133440.1631,TX
314,1998-09,133796.5498,TX
315,1998-10,134011.5334,TX
316,1998-11,134123.2316,TX
317,1998-12,134374.842,TX
318,1999-01,134532.8146,TX
319,1999-02,135183.2298,TX
320,1999-03,135815.2763,TX
321,1999-04,136460.7916,TX
322,1999-05,136959.7609,TX
323,1999-06,137534.6629,TX
324,1999-07,138488.62,TX
325,1999-08,140463.2809,TX
326,1999-09,141524.2297,TX
327,1999-10,142289.5582,TX
328,1999-11,142997.2775,TX
329,1999-12,143930.9666,TX
330,2000-01,144602.2878,TX
331,2000-02,145157.227,TX
332,2000-03,145378.0778,TX
333,2000-04,145529.0983,TX
334,2000-05,145250.1677,TX
335,2000-06,145136.5032,TX
336,2000-07,145035.1203,TX
337,2000-08,145335.3718,TX
338,2000-09,145804.5918,TX
339,2000-10,146313.1171,TX
340,2000-11,145331.2222,TX
341,2000-12,145931.735,TX
342,2001-01,144198.7733,TX
343,2001-02,143828.6846,TX
344,2001-03,143489.4604,TX
345,2001-04,143124.9522,TX
346,2001-05,142997.6254,TX
347,2001-06,142903.6537,TX
348,2001-07,142880.397,TX
349,2001-08,143051.7866,TX
350,2001-09,143299.3716,TX
351,2001-10,143615.406,TX
352,2001-11,143766.7552,TX
353,2001-12,143869.2178,TX
354,2002-01,144032.9363,TX
355,2002-02,144159.677,TX
356,2002-03,144344.8474,TX
357,2002-04,144453,TX
358,2002-05,144534.5111,TX
359,2002-06,144800.517,TX
360,2002-07,145089.0489,TX
361,2002-08,145635.3062,TX
362,2002-09,146278.1477,TX
363,2002-10,146768.9527,TX
364,2002-11,147101.6204,TX
365,2002-12,147302.3353,TX
366,2003-01,144855.755,TX
367,2003-02,145165.0539,TX
368,2003-03,145286.922,TX
369,2003-04,145221.4482,TX
370,2003-05,145114.238,TX
371,2003-06,145098.4093,TX
372,2003-07,145191.6062,TX
373,2003-08,146134.1427,TX
374,2003-09,146433.6825,TX
375,2003-10,146762.3986,TX
376,2003-11,146730.7768,TX
377,2003-12,146790.9331,TX
378,2004-01,147399.5569,TX
379,2004-02,148487.8906,TX
380,2004-03,150056.6676,TX
381,2004-04,151151.9875,TX
382,2004-05,151760.0166,TX
383,2004-06,151864.2761,TX
384,2004-07,152378.3795,TX
385,2004-08,153066.7753,TX
386,2004-09,153988.8986,TX
387,2004-10,153878.2443,TX
388,2004-11,154427.1585,TX
389,2004-12,154898.3356,TX
390,2005-01,149564.2196,TX
391,2005-02,145073.8469,TX
392,2005-03,139922.8508,TX
393,2005-04,137376.1339,TX
394,2005-05,134153.9865,TX
395,2005-06,133072.8989,TX
396,2005-07,132637.8296,TX
397,2005-08,131745.7489,TX
398,2005-09,132049.0932,TX
399,2005-10,132088.8862,TX
400,2005-11,132466.25,TX
401,2005-12,132509.3713,TX
402,2006-01,132449.5671,TX
403,2006-02,132712.6031,TX
404,2006-03,132873.1192,TX
405,2006-04,133123.2288,TX
406,2006-05,133444.1621,TX
407,2006-06,133504.7063,TX
408,2006-07,133970.1631,TX
409,2006-08,134386.2424,TX
410,2006-09,135061.669,TX
411,2006-10,135547.3317,TX
412,2006-11,136330.6244,TX
413,2006-12,136879.0895,TX
414,2007-01,136854.7014,TX
415,2007-02,136876.7341,TX
416,2007-03,136806.5467,TX
417,2007-04,136970.1035,TX
418,2007-05,137097.6517,TX
419,2007-06,137352.3324,TX
420,2007-07,137370.8363,TX
421,2007-08,137700.0526,TX
422,2007-09,137799.8338,TX
423,2007-10,138309.1072,TX
424,2007-11,138611.1894,TX
425,2007-12,138842.0769,TX
426,2008-01,135841.59,TX
427,2008-02,135511.0329,TX
428,2008-03,135084.6391,TX
429,2008-04,134929.8646,TX
430,2008-05,134731.7636,TX
431,2008-06,134637.2742,TX
432,2008-07,134619.8989,TX
433,2008-08,134081.4562,TX
434,2008-09,133814.3672,TX
435,2008-10,133460.9008,TX
436,2008-11,133171.8073,TX
437,2008-12,132822.6164,TX
438,2009-01,132182.7263,TX
439,2009-02,132037.1793,TX
440,2009-03,131844.0617,TX
441,2009-04,131717.8279,TX
442,2009-05,131664.0641,TX
443,2009-06,131508.1916,TX
444,2009-07,131369.0256,TX
445,2009-08,131235.4951,TX
446,2009-09,131072.0122,TX
447,2009-10,130812.6181,TX
448,2009-11,130811.606,TX
449,2009-12,130798.1431,TX
450,2010-01,130822.8338,TX
451,2010-02,130651.1295,TX
452,2010-03,130584.2424,TX
453,2010-04,130620.6138,TX
454,2010-05,130605.3014,TX
455,2010-06,130476.0073,TX
456,2010-07,130230.3848,TX
457,2010-08,129845.0473,TX
458,2010-09,129229.9019,TX
459,2010-10,128744.7178,TX
460,2010-11,128261.1846,TX
461,2010-12,127849.9513,TX
462,2011-01,127411.7427,TX
463,2011-02,126938.9958,TX
464,2011-03,126625.1802,TX
465,2011-04,126382.0132,TX
466,2011-05,126176.7295,TX
467,2011-06,126007.0096,TX
468,2011-07,125932.2721,TX
469,2011-08,125972.1751,TX
470,2011-09,125979.7624,TX
471,2011-10,125870.6581,TX
472,2011-11,125753.0901,TX
473,2011-12,125606.29,TX
474,2012-01,125591.3447,TX
475,2012-02,125602.7989,TX
476,2012-03,125952.6807,TX
477,2012-04,126317.4037,TX
478,2012-05,126746.9204,TX
479,2012-06,127124.1771,TX
480,2012-07,127595.7029,TX
481,2012-08,128004.6857,TX
482,2012-09,128349.6673,TX
483,2012-10,128588.4376,TX
484,2012-11,128978.9276,TX
485,2012-12,129470.2928,TX
486,2013-01,130096.112,TX
487,2013-02,130709.8863,TX
488,2013-03,131491.9876,TX
489,2013-04,132363.4414,TX
490,2013-05,133241.2789,TX
491,2013-06,134105.6773,TX
492,2013-07,134973.032,TX
493,2013-08,135604.1897,TX
494,2013-09,136525.3003,TX
495,2013-10,137361.4319,TX
496,2013-11,138331.4988,TX
497,2013-12,139165.9705,TX
498,2014-01,139949.2385,TX
499,2014-02,140713.6038,TX
500,2014-03,141328.3046,TX
501,2014-04,142040.4543,TX
502,2014-05,142826.2431,TX
503,2014-06,143733.0667,TX
504,2014-07,144534.213,TX
505,2014-08,145291.6967,TX
506,2014-09,146109.2459,TX
507,2014-10,146816.4784,TX
508,2014-11,147730.4481,TX
509,2014-12,148619.943,TX
510,2015-01,149009.2535,TX
511,2015-02,149843.2084,TX
512,2015-03,150698.7196,TX
513,2015-04,151634.5066,TX
514,2015-05,152600.4207,TX
515,2015-06,153570.1089,TX
516,2015-07,154449.762,TX
517,2015-08,155083.7625,TX
518,2015-09,155515.8223,TX
519,2015-10,155988.7103,TX
520,2015-11,156613.4848,TX
521,2015-12,157461.8152,TX
522,2016-01,158067.665,TX
523,2016-02,158831.7742,TX
524,2016-03,159520.029,TX
525,2016-04,160301.8936,TX
526,2016-05,161204.1877,TX
527,2016-06,162056.008,TX
528,2016-07,162833.3235,TX
529,2016-08,163322.5159,TX
530,2016-09,163813.2283,TX
531,2016-10,164046.5057,TX
532,2016-11,165147.6328,TX
533,2016-12,166287.2164,TX
534,2017-01,167105.6944,TX
535,2017-02,168021.0596,TX
536,2017-03,168801.1904,TX
537,2017-04,169736.7708,TX
538,2017-05,170575.9331,TX
539,2017-06,171373.9528,TX
540,2017-07,171901.266,TX
541,2017-08,172152.1193,TX
542,2017-09,172447.3656,TX
543,2017-10,172931.6989,TX
544,2017-11,173632.9771,TX
545,2017-12,174550.7657,TX
546,2018-01,175417.3238,TX
547,2018-02,176297.7282,TX
548,2018-03,177205.0084,TX
549,2018-04,178205.8305,TX
550,2018-05,179165.9899,TX
551,2018-06,180065.8826,TX
552,2018-07,180779.2109,TX
553,2018-08,181374.877,TX
554,2018-09,181730.0319,TX
555,2018-10,182206.302,TX
556,2018-11,182714.1068,TX
557,2018-12,183465.1437,TX
558,2019-01,184323.0414,TX
559,2019-02,185223.024,TX
560,2019-03,185964.7959,TX
561,2019-04,186599.7908,TX
562,2019-05,187208.113,TX
